team,algorithm,communities,modularity_Q,NMI,AMI,F1_macro
Argentina,Louvain,4,0.097,0.086,-0.108,0.172
Argentina,Leiden,4,0.013,0.158,-0.015,0.169
Argentina,Infomap,1,,0.0,0.0,0.125
France,Louvain,3,0.134,0.1,-0.039,0.317
France,Leiden,3,0.047,0.098,-0.044,0.199
France,Infomap,1,,0.0,0.0,0.1
Croatia,Louvain,4,0.097,0.305,0.121,0.324
Croatia,Leiden,4,-0.011,0.296,0.11,0.247
Croatia,Infomap,1,,0.0,0.0,0.1
Morocco,Louvain,3,0.122,0.104,-0.03,0.115
Morocco,Leiden,4,-0.03,0.283,0.133,0.234
Morocco,Infomap,1,,0.0,0.0,0.109
